movieId,predicted_rating,num_raters,avg_similarity
2145,3.22,2,0.4289
3996,4.45,6,0.4192
4023,2.77,3,0.4339
5459,2.62,6,0.4026
135536,2.02,3,0.4129
5218,3.56,6,0.4513
5378,3.54,9,0.4408
30810,3.28,6,0.4295
34048,3.6,5,0.4327
48516,3.97,8,0.4263
55765,3.35,3,0.4018
57528,3.34,2,0.403
59014,0.5,1,0.4025
96411,3.58,1,0.4025
111781,3.59,2,0.403
68157,4.27,9,0.4406
3868,3.37,5,0.4111
6620,3.96,3,0.3998
8937,3.9,2,0.398
33493,4.03,7,0.4323
79134,3.0,2,0.3996
3918,2.44,1,0.4217
52279,1.27,1,0.5616
3072,4.19,1,0.4185
1278,4.26,3,0.3979
1961,3.92,4,0.4037
2146,3.89,1,0.3993
2861,2.89,1,0.3993
2990,3.41,3,0.4609
3269,2.89,1,0.3993
3478,2.43,2,0.3985
4887,2.05,3,0.4062
5680,3.39,1,0.3993
6718,2.39,1,0.3993
8917,3.37,4,0.4005
51091,3.89,1,0.3993
61024,3.99,4,0.4005
143385,3.74,2,0.4014
4022,3.97,5,0.4194
60069,3.68,7,0.4406
5329,2.99,2,0.4014
7163,2.23,2,0.4014
71341,2.59,1,0.4035
87876,2.09,1,0.4035
92391,3.09,1,0.4035
97752,3.26,3,0.4501
3424,4.01,3,0.3999
836,2.26,3,0.433
3273,2.52,3,0.4018
127202,3.47,2,0.4704
292,3.35,3,0.4093
2399,2.17,2,0.4105
3431,2.44,1,0.4217
2498,2.27,1,0.5616
153,2.46,3,0.3998
247,3.89,1,0.3993
454,3.55,4,0.4474
542,1.89,1,0.3993
2450,1.89,1,0.3993
3225,0.89,1,0.3993
5094,1.23,2,0.4805
2841,3.11,2,0.4804
103253,2.91,3,0.4501
586,3.18,2,0.3985
553,2.74,2,0.4114
3317,3.82,3,0.4064
6618,3.69,3,0.4018
45672,3.0,5,0.4003
95654,3.59,1,0.4035
113348,2.09,1,0.4035
113780,2.59,1,0.4035
923,4.43,5,0.4451
3753,3.14,6,0.4182
1732,4.6,7,0.4217
3949,3.75,9,0.4188
27156,4.47,2,0.4162
62956,2.93,3,0.4142
1687,2.99,4,0.4058
2278,3.47,3,0.4078
3175,3.38,4,0.4308
4718,3.74,4,0.4005
8641,3.65,6,0.4273
49530,3.18,3,0.4018
84954,2.5,4,0.4005
90866,3.26,3,0.4501
101864,2.53,3,0.4009
102125,3.87,5,0.44
36525,3.42,1,0.3966
46970,3.31,5,0.4318
55280,2.51,2,0.4001
91094,2.76,2,0.3996
105037,3.0,2,0.3996
185029,2.88,3,0.4658
3768,1.44,1,0.4217
4361,3.84,3,0.4052
471,4.24,2,0.4014
1541,1.89,1,0.3993
1580,3.54,5,0.4038
4290,1.89,1,0.3993
4900,3.65,2,0.398
5303,3.89,1,0.3993
5679,3.52,3,0.4018
5951,2.39,1,0.3993
6337,3.89,1,0.3993
6753,3.89,1,0.3993
7346,3.63,3,0.3995
8370,4.4,2,0.398
89745,4.15,8,0.4428
166024,4.39,1,0.3993
3980,3.48,2,0.4487
1998,1.47,1,0.3978
2470,3.77,2,0.4114
27790,3.59,1,0.4035
52950,2.59,1,0.4035
54272,3.73,6,0.4404
79868,2.09,1,0.4035
91233,3.59,1,0.4035
60,2.65,4,0.4719
122906,3.39,4,0.4089
32,4.15,7,0.4133
1894,2.73,2,0.4009
785,2.96,5,0.439
1266,4.16,4,0.4198
2770,2.07,3,0.4458
3584,2.44,1,0.4217
3844,2.68,2,0.4105
968,3.29,5,0.429
2411,2.32,4,0.4099
95,2.15,5,0.411
288,3.67,3,0.4093
342,3.89,1,0.3993
2407,3.18,2,0.3985
3051,2.89,1,0.3993
4519,1.89,1,0.3993
4599,1.89,1,0.3993
919,3.47,4,0.4045
1517,3.63,6,0.4263
2794,2.84,3,0.4068
3766,2.27,3,0.4063
3785,2.82,5,0.4051
5275,1.09,1,0.4035
103075,2.09,1,0.4035
371,3.02,1,0.5014
1037,2.72,4,0.4323
2081,3.73,4,0.426
58025,2.79,4,0.4418
70336,2.49,2,0.4009
83134,3.59,2,0.403
85020,2.84,2,0.403
89864,3.62,4,0.4005
95558,3.69,3,0.4018
103249,3.03,3,0.4009
135567,3.0,2,0.3996
162478,3.08,1,0.4025
6297,3.15,2,0.398
7162,3.65,2,0.398
55292,1.42,1,0.3966
78209,3.74,2,0.3996
80219,2.86,3,0.4009
103228,4.19,3,0.4009
103980,4.0,2,0.3996
6687,0.77,1,0.5616
61248,3.08,4,0.4622
339,3.22,3,0.4529
1810,2.89,1,0.3993
3044,2.89,1,0.3993
3525,2.89,1,0.3993
3770,1.89,1,0.3993
4520,2.39,1,0.3993
4565,2.89,1,0.3993
4816,3.69,3,0.4018
4866,2.74,2,0.4014
5106,1.89,1,0.3993
5282,2.39,1,0.3993
5382,1.89,1,0.3993
7318,3.39,1,0.3993
34536,3.89,1,0.3993
4187,3.96,1,0.498
4203,3.48,2,0.4487
169984,2.78,2,0.4002
6754,2.99,4,0.4005
27317,3.59,1,0.4035
42738,2.85,3,0.4018
43936,2.85,3,0.4018
68791,2.59,2,0.403
69526,2.37,4,0.4005
86898,4.59,1,0.4035
145951,0.5,1,0.4035
1962,3.25,2,0.4255
327,2.45,3,0.4412
420,2.55,3,0.408
832,3.15,4,0.4062
1263,4.17,2,0.4105
2792,2.1,3,0.4063
2818,1.44,1,0.4217
168,2.17,2,0.4105
209,3.89,1,0.3993
3100,4.21,2,0.3994
3999,2.24,2,0.4014
4344,2.99,4,0.4005
4818,1.89,1,0.3993
106918,3.99,4,0.4005
379,1.46,2,0.3994
122884,2.59,1,0.4035
5956,3.7,6,0.4211
5962,1.02,1,0.5014
5872,3.1,4,0.4249
6250,2.59,2,0.403
64716,3.58,1,0.4025
65682,3.08,1,0.4025
70361,2.58,1,0.4025
78105,2.31,2,0.4011
90647,3.4,2,0.4821
152091,2.58,1,0.4025
6213,1.65,2,0.398
6586,3.0,2,0.3996
62113,2.42,1,0.3966
90376,4.42,1,0.3966
118696,3.96,3,0.4536
2528,3.0,3,0.4148
2699,2.4,4,0.4348
60756,2.53,4,0.44
748,2.33,3,0.4093
3261,3.01,2,0.4045
3360,4.43,2,0.3985
3707,2.89,1,0.3993
3794,2.89,1,0.3993
4019,4.03,2,0.4114
4103,4.89,1,0.3993
5297,1.89,1,0.3993
5321,1.89,1,0.3993
5876,3.89,1,0.3993
8638,3.89,1,0.3993
48738,3.9,2,0.398
5065,3.14,2,0.4097
49932,3.59,1,0.4035
1591,1.94,3,0.3985
1645,3.34,3,0.4093
372,3.89,1,0.3993
373,3.89,1,0.3993
537,3.89,1,0.3993
852,3.89,1,0.3993
1014,2.89,1,0.3993
1104,4.02,2,0.4045
1753,2.65,2,0.398
2106,2.89,1,0.3993
2374,2.89,1,0.3993
2908,3.0,3,0.4386
3916,3.67,3,0.4336
2903,1.97,1,0.3978
2359,3.41,2,0.4166
3997,1.52,3,0.4018
91535,3.34,2,0.403
5507,2.08,4,0.4267
44022,2.74,2,0.4009
66171,3.08,1,0.4025
84772,2.89,4,0.4001
99750,3.08,1,0.4025
5941,2.65,2,0.398
103984,4.42,1,0.3966
2669,3.61,2,0.4583
3543,4.56,2,0.4089
2097,2.89,1,0.3993
2406,3.43,3,0.4063
2940,3.89,1,0.3993
3020,4.03,2,0.4114
4451,3.39,1,0.3993
4546,3.89,1,0.3993
4961,2.39,1,0.3993
6162,3.39,1,0.3993
7450,2.39,1,0.3993
42011,2.41,3,0.4525
47423,3.89,1,0.3993
54736,3.24,2,0.4014
2083,4.0,2,0.4124
