userId,similarity,common_movies
604,0.171,7112
395,-0.0061,6130
229,0.3278,7640
123,-0.009,5144
454,0.1377,2569
330,0.1713,25596
419,0.1714,11074
560,0.2354,26167
542,0.2596,10082
477,0.3126,32187
420,0.2516,10490
314,0.199,11442
292,0.197,25978
288,0.3466,43906
153,0.084,11503
168,0.179,5337
379,0.1413,5834
307,0.3842,40828
609,0.3146,4086
463,0.3385,3378
372,0.3479,15850
247,0.1775,16471
144,0.1854,14769
32,0.3563,7684
603,0.1715,30031
471,0.0033,3441
411,0.3305,10435
403,0.4854,2272
384,0.4185,4039
373,0.3565,9721
339,0.0612,21544
304,0.2199,17484
167,0.2071,14706
553,0.1422,6343
326,0.1261,8982
155,0.0732,3683
435,0.3374,4019
586,0.0186,13032
536,0.2128,3985
581,0.0765,5209
572,0.2035,10829
537,-0.0401,3719
60,0.3969,1750
128,0.0476,2981
95,0.369,10495
90,0.1542,2161
324,0.4557,1014
482,0.2143,7135
209,0.3532,4446
371,0.2042,2883
92,0.1958,741
576,0.1907,646
22,0.1945,8366
148,-0.2203,3467
394,0.2888,3609
473,0.5731,1951
563,0.2874,5655
108,0.2188,3925
342,0.3034,2689
306,0.0306,3252
496,0.4901,1819
327,0.166,3785
205,0.0563,2278
469,0.2934,25796
286,0.2882,11362
284,0.195,8233
242,0.2993,4759
240,-0.0085,10199
99,0.3231,4239
540,0.4628,4511
606,0.2699,35911
301,0.1625,11766
105,0.0823,27637
199,0.2203,21548
54,0.3455,5071
173,-0.0039,3927
193,-0.0838,4862
559,0.3057,11798
382,0.5616,13057
122,0.3335,18354
565,0.3377,4685
370,0.0901,10948
192,-0.1003,3275
178,0.2517,9197
509,0.293,20050
226,0.3063,29622
142,0.3122,5309
368,0.4217,21965
211,0.3926,7935
415,0.366,9067
72,0.4531,6575
29,0.2159,5682
298,0.3966,36556
220,0.3094,19119
159,0.0072,7615
230,-0.0403,13613
243,-0.0948,3732
319,0.1844,3917
390,0.1706,4530
3,-0.2193,1204
278,0.5944,1245
270,0.2923,2998
120,0.3558,2213
80,0.282,9477
44,0.2834,2953
356,0.1167,18931
398,0.1676,2682
87,0.4989,907
114,-0.0496,2734
289,0.2106,1428
494,0.3226,3652
75,0.1818,5997
271,0.1665,2308
493,0.2675,5413
165,0.2948,4999
30,0.0907,4296
158,0.0773,737
34,0.0433,7163
505,0.4255,1703
530,0.2346,3706
538,0.1317,2159
392,0.3684,1767
146,0.3779,1314
459,0.0253,2651
558,0.0907,3288
528,0.2781,6528
522,0.1947,15904
512,0.3454,7242
443,0.0186,5007
302,0.3241,4083
115,0.1883,9744
526,-0.1058,4100
328,0.1444,21923
585,0.2046,4250
273,0.1413,5769
171,0.1132,7672
102,0.3438,6668
233,0.3627,13352
464,0.3996,13052
445,0.1514,8526
232,0.3796,32806
126,0.1503,6187
434,0.307,24037
313,0.1706,20912
589,0.3688,4273
203,0.2176,4488
135,0.3064,19962
58,0.2551,10542
427,0.4158,4556
343,0.1824,6114
221,0.0894,16667
18,0.3229,30621
4,0.0241,11765
225,0.0999,4594
25,0.3531,2965
308,-0.0878,11746
439,0.2998,3487
157,0.3743,1562
361,-0.192,8218
190,0.1667,5789
59,-0.0486,7421
93,0.2308,8608
265,0.3141,10287
253,0.1565,1483
31,0.1082,4795
457,0.3619,4439
299,0.2473,1867
188,0.0428,2051
475,0.2166,11432
248,-0.0635,3937
257,-0.0451,1500
101,0.333,3486
55,0.3833,1207
366,0.2716,3737
516,0.3583,1910
259,0.0108,2680
591,0.269,4113
499,0.3808,687
77,0.1056,4165
73,0.1874,9847
491,-0.0198,3893
358,0.2537,1335
184,0.4358,2977
245,0.0707,861
433,0.1341,3247
428,0.2682,20954
137,0.0307,12131
103,0.2258,23565
489,0.3043,36325
246,0.1205,12108
66,0.2255,21548
74,0.3221,5957
235,0.3139,8079
204,0.4463,6314
119,0.1699,11607
566,0.2357,8295
179,0.3202,8154
141,0.1562,16801
81,0.1731,4738
40,0.2642,7324
21,0.0604,22494
476,0.2951,6912
227,0.0319,8030
8,0.2266,6735
608,0.2794,43411
405,0.1675,6952
387,0.34,36331
251,0.1664,3618
331,0.3364,11786
100,0.0009,9447
96,0.3118,8242
117,0.2981,13643
64,0.233,33296
33,0.2903,9655
599,0.3881,65159
423,0.3596,3255
580,0.2573,28567
575,0.5053,1378
470,0.1895,9508
385,0.3516,14775
241,-0.1073,5500
42,0.2926,22798
590,0.3764,41600
414,0.3993,73920
346,0.0461,8449
1,0.1427,16296
51,0.2255,14442
495,0.1757,15481
579,0.2297,5636
557,0.0279,4277
465,0.2848,7403
449,0.4386,3893
85,0.2276,1034
367,0.2523,10416
421,0.4679,2444
189,-0.0008,3534
539,0.2499,2847
206,0.0671,2220
451,0.3182,3094
450,0.3647,3638
214,0.0819,1670
151,0.1172,2570
11,0.3525,6334
337,0.1587,5433
20,0.2856,10917
329,-0.3039,2276
236,0.3521,1464
113,0.2349,5837
164,0.1721,4005
194,0.2226,1156
360,0.2281,936
545,0.1189,782
429,0.1992,3498
460,0.2989,7137
466,-0.0831,8925
506,0.1349,1226
341,0.0222,3150
277,0.2019,2094
138,0.2148,643
207,0.4072,821
237,0.1697,4215
175,0.1418,240
201,0.3091,10813
50,0.3372,12848
282,0.2311,20270
555,0.3606,24423
592,0.3027,9302
483,0.2784,39494
210,0.0484,7227
605,0.2352,11134
28,0.1938,27623
504,0.2382,5127
498,0.2098,5191
458,0.0703,6668
363,0.1049,3577
336,0.2749,6914
334,0.2024,13815
67,-0.0192,5087
413,0.0366,5569
37,0.1016,3421
275,0.1451,20031
110,0.3979,4343
468,0.1669,4621
391,0.1991,24702
323,0.293,8563
381,0.2109,29754
436,0.2904,8042
169,0.2013,16755
2,-0.1275,2016
224,-0.0006,4579
532,0.1629,5662
452,0.1491,15870
65,0.1283,3299
104,0.0448,14579
554,0.2122,5924
438,0.3455,30868
150,0.2629,2119
350,0.2267,3177
297,0.407,5034
541,0.2324,8152
186,0.1543,14087
180,0.4758,2369
369,0.1212,8602
183,0.186,4732
83,0.2341,9331
111,0.0826,21207
500,0.2152,5941
79,0.214,4936
52,0.1024,8586
550,0.3554,2558
161,0.2413,2161
46,0.283,5466
518,0.2598,1294
12,-0.0136,1501
519,0.3163,2220
598,-0.3027,1741
383,0.1445,1651
508,0.2988,965
309,0.1478,5956
41,0.0101,15115
338,0.5971,3036
266,0.2935,14369
69,0.3526,5248
39,0.2296,9288
212,-0.042,15250
583,0.1004,3608
68,0.1398,57019
134,0.2362,4363
610,0.4035,39411
223,0.1863,9113
131,0.1416,7716
404,0.2334,6746
335,0.4995,3769
23,0.0258,6773
448,0.3715,50747
425,0.1926,26108
166,0.2126,18807
160,0.304,25297
588,0.3506,6785
359,0.1919,7007
260,0.1546,7365
200,0.2327,23808
503,0.3277,7348
584,0.1376,8744
352,0.3466,17080
145,0.27,3630
24,0.35,8969
276,0.3223,4053
