userId,similarity,common_movies
338,0.5971,3036
278,0.5944,1245
473,0.5731,1951
382,0.5616,13057
511,0.5442,3763
88,0.5213,4784
575,0.5053,1378
396,0.5043,2461
9,0.5014,1981
335,0.4995,3769
87,0.4989,907
422,0.498,4355
228,0.4927,2251
496,0.4901,1819
403,0.4854,2272
180,0.4758,2369
421,0.4679,2444
540,0.4628,4511
13,0.4585,2303
324,0.4557,1014
72,0.4531,6575
204,0.4463,6314
449,0.4386,3893
295,0.4365,3845
184,0.4358,2977
505,0.4255,1703
515,0.4248,2940
535,0.4237,1608
552,0.4234,11773
293,0.4222,1660
368,0.4217,21965
384,0.4185,4039
348,0.4178,5592
531,0.4175,2421
427,0.4158,4556
568,0.4098,1698
207,0.4072,821
297,0.407,5034
610,0.4035,39411
249,0.4025,41196
261,0.4017,5261
124,0.4002,5618
464,0.3996,13052
414,0.3993,73920
154,0.3987,2078
578,0.3987,406
110,0.3979,4343
514,0.3978,20015
60,0.3969,1750
298,0.3966,36556
