userId,avg_rating,num_ratings
22,2.571,119
32,3.755,102
90,4.074,54
95,4.063,168
108,3.987,76
123,4.036,56
144,3.629,128
148,3.74,48
153,2.218,179
155,3.609,46
167,3.439,173
168,4.463,94
205,3.87,27
209,4.243,35
247,3.747,150
288,3.146,1055
292,3.302,446
304,3.87,216
306,3.317,112
307,2.666,975
314,3.047,128
324,3.143,21
326,4.016,152
327,4.104,48
330,3.69,247
339,4.07,371
342,2.939,66
371,4.549,41
372,3.356,236
384,3.086,70
403,3.765,34
411,3.26,127
419,3.803,155
420,3.823,141
435,4.321,42
454,3.767,45
463,3.788,33
471,3.875,28
473,3.419,37
477,3.737,600
482,3.406,128
496,3.414,29
536,3.4,40
537,4.064,47
542,3.509,113
553,4.337,83
560,3.568,458
563,3.3,213
572,4.123,155
581,4.375,40
586,4.365,208
603,3.508,943
60,3.727,22
92,3.938,24
229,3.738,65
373,3.19,100
379,3.389,36
394,2.957,23
395,3.049,61
576,3.1,20
604,3.48,100
609,3.27,37
128,4.364,33
3,2.436,39
29,4.142,81
30,4.735,34
34,3.419,86
44,3.354,48
72,4.156,45
75,3.232,69
80,4.26,167
87,3.952,21
99,3.868,53
105,4.116,722
114,3.435,31
120,3.409,22
122,4.546,292
142,3.816,38
146,3.141,32
158,3.423,26
159,3.273,97
165,3.538,65
173,3.48,25
178,4.091,77
193,3.8,35
199,3.395,363
211,3.904,89
220,3.964,207
226,3.476,507
230,2.86,139
240,3.914,128
270,3.2,40
271,3.186,43
278,3.875,20
284,3.716,88
286,3.788,106
289,3.625,24
298,2.364,939
301,3.32,114
319,4.429,35
356,4.021,289
368,2.842,469
370,3.548,93
382,3.509,291
390,3.84,81
398,4.25,46
415,4.085,94
459,4.346,26
469,3.673,465
493,3.689,61
494,4.227,22
509,3.216,467
538,4.473,37
540,4.0,42
559,3.286,140
606,3.657,1115
54,3.03,33
242,3.6,35
243,4.139,36
505,4.177,31
530,3.778,27
565,3.655,29
392,3.2,25
192,4.045,22
4,3.556,216
10,3.279,140
18,3.732,502
25,4.808,26
31,3.92,50
58,3.902,112
59,4.355,107
73,3.712,210
77,4.0,29
93,4.289,97
101,3.557,61
102,3.357,56
115,3.768,112
135,3.631,279
157,3.476,21
171,4.634,82
184,3.705,134
190,3.909,66
203,3.844,45
221,4.127,331
225,3.653,75
232,3.251,862
233,3.3,150
248,3.745,51
253,4.351,47
259,3.121,29
265,3.35,163
273,4.0,55
308,2.426,115
313,3.432,340
328,3.225,255
343,4.059,59
358,3.256,41
361,3.18,97
366,3.952,31
427,3.101,84
434,3.781,233
439,4.119,21
443,4.122,37
445,3.857,77
457,3.46,50
464,3.754,138
475,4.41,155
491,4.156,64
499,3.833,27
522,3.83,200
526,4.19,58
528,3.473,73
558,3.929,56
585,4.336,61
589,4.025,40
591,3.278,54
126,3.289,38
188,4.396,48
257,3.2,20
302,4.0,32
512,3.78,50
516,3.692,26
55,2.84,25
245,2.714,21
299,3.652,23
1,4.366,232
8,3.574,47
11,3.781,64
20,3.591,242
21,3.261,443
33,3.788,156
40,3.767,103
42,3.566,440
51,3.776,359
64,3.769,517
66,4.02,345
74,4.271,177
81,2.769,26
85,3.706,34
96,3.885,78
100,3.946,148
103,3.907,377
113,3.647,150
117,3.339,165
119,4.177,215
137,3.979,141
141,3.539,168
151,3.542,59
164,4.25,36
175,3.542,24
179,3.783,69
194,3.475,20
204,3.958,83
227,4.202,94
236,3.967,30
237,3.36,50
241,3.98,76
246,4.252,204
251,4.87,23
329,2.87,23
331,3.628,168
341,3.798,52
346,3.683,164
367,3.859,185
385,3.403,201
387,3.259,1027
405,4.008,120
414,3.392,2698
421,4.108,37
428,2.64,300
429,3.983,58
433,3.773,22
449,3.289,38
450,4.0,51
460,4.201,82
465,4.157,115
466,3.929,113
470,3.513,80
476,3.681,69
489,3.018,648
495,4.009,265
506,3.262,42
539,3.803,38
557,3.852,27
566,3.541,74
575,3.167,36
579,3.973,73
580,3.53,436
590,3.356,728
599,2.642,2478
608,3.134,831
138,3.523,22
189,4.1,20
206,4.04,25
207,2.875,20
235,3.646,65
277,3.571,28
337,4.208,77
360,3.36,25
423,3.717,23
451,3.794,34
545,3.37,23
214,2.864,22
2,3.948,29
12,4.391,32
28,3.02,570
46,4.0,42
50,2.781,310
52,4.477,130
65,4.029,34
67,3.972,36
79,4.203,64
83,3.309,118
104,3.507,273
110,3.725,51
111,3.34,646
161,3.833,39
169,4.249,269
180,3.563,24
183,3.825,57
186,4.08,226
201,4.1,110
210,4.08,138
224,4.259,54
275,4.087,403
282,4.034,237
297,2.597,72
323,3.173,98
334,3.419,154
336,4.321,56
350,3.25,40
369,3.391,129
381,3.542,474
383,3.794,34
391,3.715,386
413,4.411,56
436,3.179,106
438,3.355,635
452,4.557,202
483,3.619,728
500,3.244,86
504,3.822,87
518,3.542,24
519,4.327,26
541,3.391,87
550,4.107,28
554,4.0,89
555,3.455,578
592,3.585,94
598,3.81,21
605,3.21,221
37,4.143,21
363,3.3,30
458,4.153,59
468,3.394,33
498,4.057,35
508,2.146,24
532,4.28,50
150,3.577,26
23,3.649,121
24,3.65,110
35,4.087,23
39,4.0,100
41,3.253,217
47,3.054,140
48,4.03,33
53,5.0,20
61,4.051,39
68,3.234,1260
69,4.37,46
71,3.6,35
106,4.439,33
127,3.114,22
129,3.921,140
131,3.442,69
134,3.571,35
139,2.144,194
149,2.724,58
154,4.382,34
160,2.708,437
166,4.074,190
200,3.81,334
212,3.591,248
223,3.273,75
255,2.568,44
260,3.76,152
266,3.5,180
267,4.175,57
272,3.629,31
276,4.39,41
293,2.619,21
309,3.84,103
316,3.0,53
338,2.936,39
352,3.781,294
359,3.419,74
376,4.064,133
404,3.4,60
425,3.533,306
448,2.847,1864
467,3.409,22
479,3.32,181
488,3.883,111
492,3.868,121
497,3.569,51
502,3.429,35
503,3.342,95
515,4.846,26
523,4.693,75
527,4.12,167
535,2.667,30
544,4.364,22
567,2.245,385
583,3.295,56
584,4.108,83
588,3.25,56
594,3.925,232
596,3.495,411
610,3.689,1302
145,3.348,23
283,3.314,35
311,2.339,28
335,3.679,28
461,2.944,27
481,2.806,31
507,3.381,21
5,3.636,44
45,3.876,399
49,4.262,21
56,3.804,46
70,4.323,62
88,4.036,56
97,4.194,36
98,3.913,92
109,3.22,127
133,3.0,35
140,3.499,608
163,3.0,23
177,3.376,904
191,3.741,85
195,3.529,187
197,3.857,35
254,3.98,127
256,3.945,174
268,3.271,129
274,3.236,1346
295,3.744,41
296,4.167,27
300,4.297,32
365,2.751,277
378,4.0,48
380,3.673,1218
388,3.621,29
400,4.512,43
407,4.114,22
408,4.092,141
412,3.892,102
416,3.069,51
417,4.463,67
431,2.725,20
447,3.872,78
455,3.456,57
472,4.121,29
484,3.815,275
520,3.882,186
521,3.6,40
525,3.542,500
531,3.773,22
543,4.454,76
548,4.096,26
561,3.372,505
569,4.0,20
602,3.393,135
607,3.786,187
176,4.056,36
340,4.214,28
347,3.556,45
486,4.018,56
487,3.143,56
556,4.078,32
406,3.25,20
7,3.23,152
15,3.448,135
43,4.553,114
62,4.082,366
91,3.396,575
94,3.036,56
116,3.437,87
121,3.293,58
125,3.86,360
132,3.039,347
147,3.375,20
152,4.024,63
162,4.237,38
174,3.657,67
182,3.511,977
213,3.827,84
215,3.908,98
216,3.665,164
228,3.74,25
258,4.2,25
279,3.648,176
287,2.622,152
294,2.611,437
310,3.531,64
318,3.756,879
322,3.411,107
345,3.903,62
357,3.957,383
377,3.912,131
409,3.841,126
